family,symbol,day,category,sig_ret_20,pool_med_20,pool_mean_20,elig_ctrl_20,fill_day,trig_to_fill,post_fill_ret_20
B2,sz.002452,2020-04-17,unmatched,0.00834296754370345,-0.005539346077971019,0.012354001577196306,,,,
B2,sz.002476,2020-04-20,unmatched,-0.17790530846484942,-0.02303826441757484,-0.009751646467940927,,,,
B2,sh.600804,2020-04-21,unmatched,0.006925207756232066,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.000090,2020-04-21,unmatched,0.03144654088050247,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.000930,2020-04-21,unmatched,-0.08923884514435731,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002100,2020-04-21,unmatched,-0.022525597269624886,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002106,2020-04-21,unmatched,0.01796407185628701,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002185,2020-04-21,unmatched,0.08456486042692979,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002208,2020-04-21,unmatched,-0.03260869565217406,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002385,2020-04-21,unmatched,0.051744885679904096,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002417,2020-04-21,unmatched,-0.04950495049504966,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002531,2020-04-21,unmatched,0.05169340463458094,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002869,2020-04-21,unmatched,-0.13580425655132478,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002912,2020-04-21,unmatched,-0.14275092936803002,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002938,2020-04-21,unmatched,0.08645610278372673,-0.03263448418612075,-0.022085696061350923,,,,
B2,sz.002959,2020-04-21,unmatched,0.21960527750517977,-0.03263448418612075,-0.022085696061350923,,,,
B2,sh.603258,2020-04-22,unmatched,0.07158469945355161,-0.043521972257838604,-0.034499908157185635,,,,
B2,sh.603613,2020-04-22,unmatched,-0.1796575290181226,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.000533,2020-04-22,unmatched,-0.0909090909090906,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.000815,2020-04-22,unmatched,-0.08060109289617468,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.000859,2020-04-22,unmatched,-0.15689655172413808,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.000875,2020-04-22,unmatched,-0.09693877551020424,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002012,2020-04-22,unmatched,-0.08782742681047728,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002019,2020-04-22,unmatched,0.1071428571428572,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002041,2020-04-22,unmatched,-0.12613875262789076,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002121,2020-04-22,unmatched,-0.19137466307277617,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002218,2020-04-22,unmatched,-0.042134831460674205,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002249,2020-04-22,unmatched,-0.11658031088082887,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002312,2020-04-22,unmatched,-0.03601694915254228,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002459,2020-04-22,unmatched,-0.027891156462584887,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002480,2020-04-22,unmatched,-0.2100000000000003,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002493,2020-04-22,unmatched,-0.027568922305764798,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002512,2020-04-22,unmatched,-0.1718494271685761,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002522,2020-04-22,unmatched,-0.02848101265822789,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002529,2020-04-22,unmatched,-0.3120759837177747,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002560,2020-04-22,unmatched,-0.025188916876573764,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002606,2020-04-22,unmatched,-0.063354037267081,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002660,2020-04-22,unmatched,-0.20590790616854904,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002837,2020-04-22,unmatched,-0.1321237497092348,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002847,2020-04-22,unmatched,0.3053729637039162,-0.043521972257838604,-0.034499908157185635,,,,
B2,sz.002897,2020-04-22,unmatched,-0.04717285945072747,-0.043521972257838604,-0.034499908157185635,,,,
B2,sh.603609,2020-04-23,filled,-0.10925925925925895,-0.022599466474888252,-0.011636912098863805,,2020-04-24,-0.03641975308641965,-0.08071748878923746
B2,sh.603887,2020-04-23,unmatched,-0.13231631382316322,-0.022599466474888252,-0.011636912098863805,,,,
B2,sh.600547,2020-04-24,unmatched,-0.03551401869158943,-0.009014017019916054,0.003596015802727128,,,,
B2,sz.002545,2020-04-24,unmatched,0.04026845637583887,-0.009014017019916054,0.003596015802727128,,,,
B2,sz.002028,2020-05-06,filled,-0.06822709163346574,0.005211190345583816,0.029636791905547605,,2020-05-07,-0.04830677290836649,-0.03506017791732041
B2,sz.002385,2020-05-06,filled,-0.08953363239543866,0.005211190345583816,0.029636791905547605,,2020-05-07,0.02617801047120416,-0.12428241504453941
B2,sz.002049,2020-05-06,unmatched,0.1677145551713295,0.005211190345583816,0.029636791905547605,,,,
B2,sz.002515,2020-05-06,unmatched,0.048441178568880305,0.005211190345583816,0.029636791905547605,,,,
B2,sz.002876,2020-05-07,unmatched,0.06514120799835132,0.007672634271099321,0.030830771876767592,,,,
B2,sz.002903,2020-05-07,unmatched,0.07730263157894712,0.007672634271099321,0.030830771876767592,,,,
B2,sh.600963,2020-05-08,unmatched,-0.06267716535433054,-0.0017482517482512172,0.018674701754865908,,,,
B2,sh.600986,2020-05-08,unmatched,0.1735941320293395,-0.0017482517482512172,0.018674701754865908,,,,
B2,sz.002192,2020-05-08,unmatched,0.11411208642808957,-0.0017482517482512172,0.018674701754865908,,,,
B2,sz.002208,2020-05-08,unmatched,0.10604026845637549,-0.0017482517482512172,0.018674701754865908,,,,
B2,sz.002401,2020-05-08,unmatched,0.06801736613603504,-0.0017482517482512172,0.018674701754865908,,,,
B2,sz.002437,2020-05-08,unmatched,-0.04075235109717834,-0.0017482517482512172,0.018674701754865908,,,,
B2,sz.002702,2020-05-08,unmatched,0.067943661971831,-0.0017482517482512172,0.018674701754865908,,,,
B2,sz.002006,2020-05-11,unmatched,0.07449209932279932,0.0,0.01855826665680818,,,,
B2,sz.002308,2020-05-11,unmatched,0.05980066445182719,0.0,0.01855826665680818,,,,
B2,sh.600745,2020-05-12,filled,-0.01812661844807617,0.008146639511201759,0.02438651643058989,,2020-05-13,-0.004732565407625788,-0.0034092948142835366
B2,sh.600975,2020-05-12,unmatched,-0.09600862998921211,0.008146639511201759,0.02438651643058989,,,,
B2,sz.000875,2020-06-30,filled,0.11559139784946248,0.07770104717779225,0.10279322729393273,,2020-07-01,0.010752688172043001,0.125
B2,sz.002001,2020-07-02,filled,0.01864640883977886,0.06674985132623257,0.10359734764710521,,2020-07-03,-0.02175414364640893,0.039181080127073775
B2,sz.002829,2020-07-06,filled,0.15514848737163556,0.04843092766872403,0.08934290108948449,,2020-07-07,0.018318068276436117,0.16980103570455274
B2,sz.002585,2020-07-07,filled,0.10236220472440971,0.03666911367233705,0.06995762805483728,,2020-07-08,0.014435695538057791,0.07244501940491599
